appliances,lights
60,30
60,30
50,30
50,40
60,40
50,40
60,50
60,50
60,40
70,40
230,70
580,60
430,50
250,40
100,10
100,10
90,10
70,30
80,30
140,40
120,20
190,40
110,40
110,40
110,30
110,20
100,30
100,20
100,20
100,20
110,20
400,20
400,20
390,30
240,20
60,20
60,20
60,20
50,10
70,20
60,20
40,20
40,10
30,20
40,20
50,20
310,10
380,20
380,20
370,20
120,10
50,0
40,0
50,0
40,0
50,0
50,0
50,0
40,0
40,0
30,0
20,0
20,0
40,0
50,0
50,0
40,0
50,0
40,0
40,0
40,0
60,0
50,0
50,0
40,0
40,0
40,0
40,0
50,0
70,10
40,0
30,0
20,10
30,0
40,10
50,10
60,20
60,20
70,20
60,30
140,20
110,30
90,10
60,0
60,0
60,0
50,0
60,0
50,0
30,0
40,0
30,0
260,0
500,0
450,0
50,10
60,0
60,0
50,0
50,0
50,0
60,0
60,0
60,0
60,0
190,0
220,0
170,0
390,0
90,0
60,0
290,0
130,0
140,0
240,0
50,0
60,0
60,0
60,0
370,0
200,0
70,0
50,0
40,0
40,0
30,0
30,0
30,0
30,0
40,0
50,0
40,0
40,0
40,0
60,0
60,10
210,20
380,20
370,40
230,30
80,40
90,30
70,20
40,10
40,0
30,0
50,0
50,0
60,0
50,0
60,0
60,0
60,0
50,0
50,0
50,0
50,0
50,0
60,0
60,0
40,0
30,0
30,20
30,10
40,0
50,10
50,0
50,0
40,0
50,0
40,0
40,0
40,0
40,0
50,0
50,0
50,0
30,0
20,0
30,0
20,0
40,0
50,0
60,0
50,0
40,0
40,0
50,0
40,0
40,0
50,0
50,0
50,0
40,0
30,0
20,0
20,0
20,0
50,0
50,0
50,0
40,0
40,0
50,0
40,0
50,0
50,0
50,0
40,0
40,0
50,0
20,0
20,0
50,0
30,10
50,10
50,10
200,0
110,10
80,10
50,0
50,0
50,0
40,0
40,0
30,0
180,20
350,30
350,20
300,30
400,20
390,30
290,30
60,30
70,20
110,30
90,20
60,20
70,20
80,20
60,0
40,10
30,10
70,10
50,10
80,10
80,10
50,0
40,0
50,0
40,0
40,0
50,0
30,0
30,0
20,0
20,0
50,0
40,0
50,0
40,0
60,0
40,0
40,0
50,0
40,0
40,0
30,0
30,0
30,0
40,0
80,0
70,0
80,0
70,0
80,0
80,0
100,0
90,0
100,10
90,0
110,0
90,10
100,0
100,10
110,0
100,10
90,10
90,10
180,10
140,0
100,10
110,20
340,20
380,20
210,30
150,20
330,20
420,20
330,20
130,20
130,20
110,20
250,10
520,0
360,0
330,0
310,0
270,0
230,0
170,10
60,0
30,0
30,0
30,0
40,0
50,0
50,0
40,0
40,0
50,0
50,0
40,0
60,0
40,0
40,0
50,0
40,0
30,0
30,0
30,0
40,0
40,0
50,0
40,0
40,0
40,0
50,0
50,0
50,0
40,0
50,0
40,0
40,0
20,0
30,0
30,0
40,0
50,0
40,0
40,0
50,0
40,0
50,0
50,0
40,0
50,0
40,0
40,0
40,0
40,0
30,10
70,10
360,20
400,10
70,10
70,0
390,0
100,0
80,10
70,0
170,10
360,0
180,10
130,0
70,20
70,10
180,20
170,20
390,30
420,20
340,20
550,10
690,10
620,10
610,10
490,10
260,20
240,10
220,10
130,10
90,10
290,10
410,0
320,0
260,0
210,0
210,0
140,0
60,0
50,0
60,0
50,0
60,0
140,0
270,0
200,0
60,0
50,0
60,0
80,0
50,0
40,0
50,0
50,0
40,0
30,0
30,0
200,0
450,0
400,0
740,0
910,0
610,10
510,10
190,0
110,10
100,0
90,10
110,10
100,0
110,10
100,10
790,10
380,10
360,10
360,10
100,10
100,10
90,10
90,20
110,10
140,30
110,20
100,20
110,20
130,20
140,30
130,20
120,20
100,10
80,0
50,10
50,0
50,0
40,0
50,0
50,0
50,0
40,0
30,0
30,0
40,0
40,0
50,0
60,0
50,0
60,0
50,0
50,0
50,0
50,0
50,0
50,0
60,0
50,0
50,0
50,0
50,0
40,0
50,0
40,0
30,0
40,0
30,0
60,0
50,0
50,0
40,0
50,0
60,0
50,0
50,0
50,0
50,0
40,0
50,0
50,0
50,0
60,0
50,0
40,0
50,0
50,0
50,0
30,0
70,10
50,10
50,10
50,10
50,0
40,10
50,10
50,10
150,10
390,20
390,10
380,10
400,10
370,10
310,10
40,10
50,0
70,10
60,10
90,10
60,10
60,20
100,0
380,10
390,10
130,10
60,0
60,10
50,10
60,10
60,10
240,0
80,10
80,0
400,0
400,0
460,10
170,0
210,0
190,0
70,0
80,0
60,10
70,0
60,0
70,0
60,0
60,0
60,0
60,0
60,0
50,10
50,0
60,0
50,0
50,0
70,0
50,0
60,0
60,0
90,0
100,10
90,0
100,10
110,0
100,10
80,0
110,10
260,10
350,10
500,10
370,10
330,20
100,10
110,20
140,20
310,30
330,20
190,20
160,20
160,30
480,10
280,20
130,20
150,20
140,20
130,20
130,20
340,20
490,10
230,10
360,10
410,10
150,0
80,10
80,10
70,10
70,10
70,0
60,10
60,10
50,10
50,0
50,0
30,0
20,0
40,0
50,0
50,0
50,0
60,0
50,0
60,0
50,0
40,0
50,0
50,0
50,0
50,0
40,0
30,0
30,0
40,0
50,0
50,0
50,0
50,0
60,0
50,0
50,0
40,0
50,0
50,0
50,0
50,0
30,0
30,0
30,0
50,0
50,0
40,0
60,0
60,0
50,0
50,0
50,0
220,0
390,10
380,10
390,10
390,10
240,10
40,10
70,10
50,0
50,0
70,0
60,0
70,0
60,0
50,0
60,0
60,0
80,0
100,0
60,0
70,0
60,0
60,0
50,0
50,0
40,0
50,0
70,0
60,0
60,0
80,0
80,0
80,0
90,0
90,0
100,0
80,0
90,0
80,0
80,0
80,0
80,0
90,0
70,0
50,0
60,10
70,10
80,10
70,10
370,10
410,20
250,10
80,10
70,10
70,0
80,10
70,20
80,20
80,20
150,20
380,30
290,30
270,20
420,30
280,20
300,20
350,30
270,20
560,20
1080,30
750,20
390,10
350,10
340,10
290,20
230,40
120,30
110,40
100,40
110,40
130,40
140,30
110,30
100,20
100,30
110,20
110,20
190,20
450,20
210,20
100,30
90,20
90,20
80,20
70,20
70,10
70,10
60,0
30,0
30,0
30,0
40,0
50,0
60,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
60,0
50,0
60,0
50,0
40,0
30,0
30,0
30,0
60,0
50,0
60,0
50,0
50,0
50,0
40,0
60,0
50,0
60,0
50,0
50,0
40,0
50,0
50,0
30,0
40,0
30,0
50,0
50,0
40,0
50,0
50,0
170,0
400,0
390,10
370,10
390,10
370,10
380,10
100,10
90,20
470,10
320,0
270,0
260,0
230,0
470,10
400,0
290,0
100,0
90,0
90,0
90,0
90,0
100,0
80,0
180,0
440,0
300,0
250,0
280,0
460,0
120,0
120,0
110,0
130,0
110,0
120,0
120,0
120,0
130,0
120,0
120,0
410,0
420,0
140,0
60,0
60,0
70,10
80,0
100,0
80,0
80,0
70,0
80,0
80,0
90,0
80,0
80,0
80,0
80,0
80,10
90,10
130,10
380,20
800,10
790,10
540,20
120,20
110,20
160,30
140,20
550,20
530,10
100,0
100,10
90,10
90,10
100,10
130,10
110,10
120,20
100,30
110,20
100,20
120,20
250,30
110,10
110,0
150,10
110,20
50,10
40,10
50,10
50,10
70,10
60,20
60,10
70,10
50,10
70,10
60,10
70,20
60,10
60,10
50,10
40,10
30,20
40,0
50,0
50,0
40,0
50,10
40,0
40,0
40,0
60,0
50,0
50,0
40,0
40,0
20,0
30,0
20,0
50,0
60,0
40,0
50,0
40,0
40,0
50,0
50,0
40,0
50,0
40,0
50,0
30,0
20,0
30,0
30,0
50,0
80,0
40,0
50,10
40,0
70,10
100,0
60,20
50,0
40,0
40,0
40,0
20,0
20,0
30,0
50,0
50,0
40,0
40,0
40,0
40,0
50,0
50,0
50,0
40,0
40,0
20,0
20,0
30,0
40,0
50,0
50,0
40,0
40,0
50,0
40,0
40,0
50,0
40,0
50,0
40,0
20,0
20,0
30,0
40,0
50,0
50,0
50,0
40,0
40,0
40,0
40,0
40,0
50,0
50,0
30,0
20,0
30,0
30,0
40,0
50,0
50,0
50,0
40,0
40,0
50,0
40,0
40,0
40,0
40,0
20,0
30,0
30,10
70,10
230,10
660,10
510,0
300,10
300,20
350,10
90,10
100,0
130,10
200,0
480,0
430,10
630,10
600,10
470,20
740,10
600,0
560,10
440,20
280,10
110,20
80,10
70,20
50,10
50,10
60,20
60,10
50,10
60,20
50,10
50,10
40,20
30,10
40,10
50,20
50,0
50,0
40,0
50,0
40,0
50,0
40,0
50,0
50,0
40,0
40,0
30,0
20,0
20,0
40,0
50,0
40,0
50,0
50,0
40,0
40,0
50,0
50,0
50,0
40,0
50,0
20,0
30,0
10,0
40,0
60,0
40,0
50,0
40,0
40,0
40,0
70,10
50,0
50,0
40,10
30,0
30,10
20,10
50,0
50,0
50,0
50,10
40,0
40,0
50,0
40,0
40,0
40,0
40,0
20,0
30,0
30,0
40,0
40,0
40,0
50,0
50,0
50,0
40,0
40,0
40,0
20,0
20,0
30,0
50,0
40,0
50,0
40,0
40,0
40,0
40,0
50,0
50,0
50,0
30,0
30,0
20,0
20,0
50,0
50,0
50,0
40,0
40,0
40,0
40,0
40,0
50,0
60,0
20,0
20,0
30,0
40,0
40,0
50,0
40,0
50,0
50,0
40,0
40,0
50,0
60,10
190,20
350,10
210,10
140,10
110,10
120,0
120,10
110,10
260,10
550,0
480,10
360,10
360,20
290,10
460,10
570,20
470,20
450,20
450,10
380,20
110,10
110,10
110,20
100,10
110,10
120,0
70,10
50,0
40,0
30,0
30,0
50,0
50,0
50,0
40,0
50,0
40,0
40,0
50,0
40,0
30,0
30,0
30,0
30,0
50,0
40,0
50,0
50,0
50,0
40,0
40,0
40,0
30,0
20,0
20,0
30,0
50,0
50,0
40,0
50,0
40,0
40,0
50,0
50,0
50,0
30,0
30,0
20,0
20,0
40,0
50,0
50,0
50,0
40,0
80,0
40,10
50,0
340,10
150,10
50,0
40,0
60,10
60,0
60,0
50,0
70,0
60,0
60,10
60,10
350,20
360,10
80,10
50,10
60,0
80,10
50,10
80,0
90,10
90,10
70,0
90,10
60,0
70,10
90,0
70,10
110,0
70,0
70,0
80,0
330,10
220,0
70,0
60,0
50,0
60,0
80,0
70,0
80,0
70,0
80,0
70,0
80,0
50,0
40,0
30,0
50,0
80,0
80,0
80,0
70,0
90,0
80,0
80,0
80,0
70,0
60,0
50,0
80,0
80,0
60,0
70,0
340,0
360,0
160,0
120,10
90,0
90,0
90,10
80,0
170,10
830,10
540,30
340,30
410,40
390,30
360,40
330,50
210,40
100,40
160,30
390,20
440,10
400,20
420,10
390,10
410,20
210,10
70,20
60,10
50,10
70,20
160,10
360,20
150,10
60,10
60,20
50,10
50,10
50,20
50,10
50,0
60,0
50,0
40,0
20,0
30,0
50,0
50,0
60,0
60,0
60,0
40,0
60,0
40,0
40,0
40,0
30,0
40,0
60,0
50,0
50,0
40,0
50,0
50,0
60,0
50,0
40,0
30,0
30,0
40,0
50,0
50,0
60,0
60,0
50,0
40,0
50,0
50,0
60,10
30,0
30,0
50,10
50,0
50,10
40,10
60,10
40,10
50,10
40,0
30,0
20,0
20,0
40,0
40,0
40,0
50,0
60,0
60,20
60,10
50,20
40,10
30,20
50,10
70,10
60,20
60,10
60,20
60,20
60,10
50,20
50,10
40,0
50,10
50,0
60,0
60,10
50,0
50,0
50,10
50,0
50,0
290,0
360,0
230,0
60,0
70,0
70,0
80,0
60,0
60,0
40,0
50,0
50,0
40,0
40,0
40,0
50,0
40,0
50,0
40,0
40,0
40,0
40,0
50,0
40,0
20,0
20,0
30,0
50,10
70,10
90,30
110,20
200,10
430,20
1070,30
890,20
590,30
100,0
100,10
120,10
150,0
120,10
120,20
160,20
480,10
460,0
360,0
330,0
310,0
250,0
220,10
90,0
80,0
80,0
70,0
50,0
50,0
40,10
40,0
40,0
30,0
50,0
50,0
40,0
50,0
40,0
40,10
40,0
40,0
50,0
30,0
30,0
20,0
40,0
40,0
50,0
40,0
50,0
50,0
40,0
40,0
30,0
20,0
30,0
30,0
40,0
50,0
40,0
50,0
30,0
40,0
40,0
50,0
40,0
20,0
20,0
30,0
40,0
40,0
50,0
50,0
40,0
50,0
40,0
40,0
30,0
30,10
20,0
30,0
70,10
50,0
60,10
40,10
40,10
40,10
60,10
50,20
30,0
80,0
340,0
50,0
50,0
60,0
60,0
